date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter
2022-12-14,16.9369,-7.11,42.8,1.87,0.0,0.352,25.9714,2.3976,29.2238,22.8179,12,0,0,0,1
2022-12-15,11.3036,-7.96,43.79,3.13,0.0,0.2281,16.0548,2.2548,41.4298,16.9369,12,0,0,0,1
2022-12-16,6.9357,-9.79,41.7,3.42,0.0,0.2146,9.6452,2.0929,49.4357,11.3036,12,0,0,0,1
2022-12-17,5.7095,-11.14,30.64,4.84,0.0,0.1931,3.5988,2.0905,57.1369,6.9357,12,0,0,0,1
2022-12-18,12.6762,-7.82,48.05,1.29,0.0,0.2679,25.3405,2.269,31.6869,5.7095,12,0,0,0,1
2022-12-19,20.7464,-6.76,55.73,2.07,0.0,0.3901,38.9619,2.225,20.4964,12.6762,12,0,0,0,1
2022-12-20,29.0905,-4.31,53.24,2.02,0.0,0.4857,42.6857,2.6571,16.3179,20.7464,12,0,0,0,1
2022-12-21,7.1667,-7.68,58.16,2.15,0.0,0.1865,9.675,1.9619,47.781,29.0905,12,0,0,0,1
2022-12-22,4.9774,-9.04,42.13,4.04,0.0,0.1914,4.5012,1.9988,51.5857,7.1667,12,0,0,0,1
2022-12-23,7.9548,-8.75,40.66,3.15,0.0,0.2395,15.3155,2.1595,46.6857,4.9774,12,0,0,0,1
2022-12-24,13.5929,-6.17,41.75,2.78,0.0,0.2883,21.4345,2.0786,45.1619,7.9548,12,0,0,0,1
2022-12-25,24.6345,-6.02,45.34,1.38,0.0,0.4808,36.3881,2.7595,27.0452,13.5929,12,0,0,0,1
